n,r,m
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Quasi-static d33 meter})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Impedance analyzer})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Ferroelectric test system})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Optical microscopy})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})",[:HAS_KEYWORD],(:Keyword {name: Poling})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})",[:HAS_KEYWORD],(:Keyword {name: Piezoelectric stack actuators})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})",[:HAS_KEYWORD],(:Keyword {name: Piezoelectric properties})
"(:Author {name: Huimin Sha,affiliation_id: 60008691})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: University of Shanghai for Science and Technology,affiliation_id: 60008691})"
"(:Author {name: Huimin Sha,affiliation_id: 60008691})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})"
"(:Author {name: Jinfeng Liu,affiliation_id: 60020044})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Shanghai Institute of Ceramics, Chinese Academy of Sciences,affiliation_id: 60020044})"
"(:Author {name: Jinfeng Liu,affiliation_id: 60020044})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})"
"(:Author {name: Xiu Zhu,affiliation_id: 60020044})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Shanghai Institute of Ceramics, Chinese Academy of Sciences,affiliation_id: 60020044})"
"(:Author {name: Xiu Zhu,affiliation_id: 60020044})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})"
"(:Author {name: Jiankang Wang,affiliation_id: 60020044})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Shanghai Institute of Ceramics, Chinese Academy of Sciences,affiliation_id: 60020044})"
"(:Author {name: Jiankang Wang,affiliation_id: 60020044})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})"
"(:Author {name: Haipeng Zhou,affiliation_id: 60008691})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: University of Shanghai for Science and Technology,affiliation_id: 60008691})"
"(:Author {name: Haipeng Zhou,affiliation_id: 60008691})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})"
"(:Author {name: Guisheng Xu,affiliation_id: 60020044})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: Shanghai Institute of Ceramics, Chinese Academy of Sciences,affiliation_id: 60020044})"
"(:Author {name: Guisheng Xu,affiliation_id: 60020044})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})"
"(:Author {name: Ding Wang,affiliation_id: 60008691})",[:AFFILIATED_WITH],"(:Affiliation {country: China,name: University of Shanghai for Science and Technology,affiliation_id: 60008691})"
"(:Author {name: Ding Wang,affiliation_id: 60008691})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Low hysteresis and strong stability of piezoelectric stack actuators based on the Mn-doped Pb (In1/2Nb1/2) O3-Pb (Mg1/3Nb2/3) O3-PbTiO3 single crystal,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.178034})"
"(:Composition {property_unit: pC/N,composition: 1.0 mol% Mn-doped 0.28Pb(In1/2Nb1/2)O3-0.42Pb(Mg1/3Nb2/3)O3-0.30PbTiO3,property_value: 1161})",[:BELONGS_TO],(:Family {name: PbTiO3})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:USES_METHOD],(:Method {name: solid-state reaction})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:USED_SYNTHESIS_STEPS],"(:Step {steps: - Dried K2CO3 and Na2CO3 powders at 150 °C for 1 h
- Weighed powders according to compositions ((K0.5Na0.5)xEu0.01NbO3 x = 0.99, 1.00, and 1.01)
- Milled with zirconia balls in ethanol for 24 hours
- Dried at 100 °C
- Calcined at 850 °C for 4 h
- Added polyvinyl alcohol (PVA) as a binder
- Prepared green ceramics by uniaxial pressing into pellets (1 mm thickness, 10 mm diameter)
- Heated to 850 °C for 1 h to burn out PVA binder
- Sintered at 1170 °C for 3 h})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:BELONGS_TO_FAMILY],(:Family {name: KNN})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: (K0.5Na0.5)1.00Eu0.01NbO3,property_value: 135})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: (K0.5Na0.5)1.01Eu0.01NbO3})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:MENTIONS],"(:Composition {property_unit: pC/N,composition: (K0.5Na0.5)0.99Eu0.01NbO3})"
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:USED_PRECURSOR],(:Precursor {name: K2CO3})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:USED_PRECURSOR],(:Precursor {name: Nb2O5})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:USED_PRECURSOR],(:Precursor {name: BaCO3})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:USED_PRECURSOR],(:Precursor {name: Eu2O3})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: XRD})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: SEM})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Impedance analyzer})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: Ferroelectric test system})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:USED_CHARACTERIZATION_TECHNIQUE],(:CharacterizationTechnique {name: UV spectrophotometer})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:HAS_KEYWORD],(:Keyword {name: KNN})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:HAS_KEYWORD],(:Keyword {name: Luminescent})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:HAS_KEYWORD],(:Keyword {name: Characterization})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:HAS_KEYWORD],(:Keyword {name: Ceramics})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:HAS_KEYWORD],(:Keyword {name: Piezoelectric properties})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:HAS_KEYWORD],(:Keyword {name: Ferroelectric ceramics})
"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})",[:HAS_KEYWORD],(:Keyword {name: Eu2Ge2O7})
"(:Author {name: Hae In Choi,affiliation_id: 60014156})",[:AFFILIATED_WITH],"(:Affiliation {country: South Korea,name: Soongsil University,affiliation_id: 60014156})"
"(:Author {name: Hae In Choi,affiliation_id: 60014156})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})"
"(:Author {name: Jae Ho Han,affiliation_id: 60014156})",[:AFFILIATED_WITH],"(:Affiliation {country: South Korea,name: Soongsil University,affiliation_id: 60014156})"
"(:Author {name: Jae Ho Han,affiliation_id: 60014156})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})"
"(:Author {name: Chae Yeon Lee,affiliation_id: 60014156})",[:AFFILIATED_WITH],"(:Affiliation {country: South Korea,name: Soongsil University,affiliation_id: 60014156})"
"(:Author {name: Chae Yeon Lee,affiliation_id: 60014156})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})"
"(:Author {name: Myang Hwan Lee,affiliation_id: 60012178})",[:AFFILIATED_WITH],"(:Affiliation {country: South Korea,name: Changwon National University,affiliation_id: 60012178})"
"(:Author {name: Myang Hwan Lee,affiliation_id: 60012178})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})"
"(:Author {name: Tae Kwon Song,affiliation_id: 60012178})",[:AFFILIATED_WITH],"(:Affiliation {country: South Korea,name: Changwon National University,affiliation_id: 60012178})"
"(:Author {name: Tae Kwon Song,affiliation_id: 60012178})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})"
"(:Author {name: Yun Sang Lee,affiliation_id: 60014156})",[:AFFILIATED_WITH],"(:Affiliation {country: South Korea,name: Soongsil University,affiliation_id: 60014156})"
"(:Author {name: Yun Sang Lee,affiliation_id: 60014156})",[:WROTE],"(:Paper {journal: Journal of Alloys and Compounds,year: 2025,title: Synthesis and characterization of Eu-doped (K0.5Na0.5)NbO3 ceramics with enhanced ferroelectric, photochromic, and luminescent properties,isOpenAccess: false,doi: 10.1016/j.jallcom.2024.177690})"
"(:Composition {property_unit: pC/N,composition: (K0.5Na0.5)1.00Eu0.01NbO3,property_value: 135})",[:BELONGS_TO],(:Family {name: KNN})
"(:Composition {property_unit: pC/N,composition: (K0.5Na0.5)1.01Eu0.01NbO3})",[:BELONGS_TO],(:Family {name: KNN})
"(:Composition {property_unit: pC/N,composition: (K0.5Na0.5)0.99Eu0.01NbO3})",[:BELONGS_TO],(:Family {name: KNN})
